business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods (old),Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
99192,LOVING CUP DIVISADERO,608 Divisadero ST,San Francisco,CA,94117,,,,14153878468,99192_20190207,02/07/2019 12:00:00 AM,,New Ownership - Followup,,,,,,,,,
92983,La Loma Produce #8,2840 Mission St.,San Francisco,CA,94110,,,,,92983_20190211,02/11/2019 12:00:00 AM,,Routine - Unscheduled,92983_20190211_103114,High risk vermin infestation,High Risk,,,,,,
87539,Lemongrass Thai Cuisine,2348 Polk St,San Francisco,CA,94109,,,,14155341818,87539_20190313,03/13/2019 12:00:00 AM,,Routine - Unscheduled,87539_20190313_103120,Moderate risk food holding temperature,Moderate Risk,,,,,,
86485,Ada's Cafe,375 Beale St,San Francisco,CA,94105,,,,,86485_20170321,03/21/2017 12:00:00 AM,,New Ownership,,,,,,,,,
78722,Arang Restaurant,1506 Fillmore St,San Francisco,CA,94115,,,,,78722_20190122,01/22/2019 12:00:00 AM,,Routine - Unscheduled,78722_20190122_103144,Unapproved or unmaintained equipment or utensils,Low Risk,,,,,,
91301,Merchant Roots,1365 Fillmore St,San Francisco,CA,94115,,,,,91301_20171129,11/29/2017 12:00:00 AM,,New Construction,,,,,,,,,
5760,Glide Memorial Church,330 Ellis St,San Francisco,CA,94102,37.785096,-122.411651,POINT (-122.411651 37.785096),,5760_20190710,07/10/2019 12:00:00 AM,,Reinspection/Followup,,,,36,10,9,14,28852,36
77960,Good Luck Dim Sum,736 Clement St,San Francisco,CA,94118,,,,,77960_20190123,01/23/2019 12:00:00 AM,,Routine - Unscheduled,77960_20190123_103129,Insufficient hot water or running water,Moderate Risk,,,,,,
92812,OMG Tea,2891 San Bruno Ave.,San Francisco,CA,94134,,,,,92812_20171004,10/04/2017 12:00:00 AM,,New Ownership,92812_20171004_103139,Improper food storage,Low Risk,,,,,,
95400,San Marcos Restaurante,98 Leland Ave,San Francisco,CA,94134,,,,,95400_20180502,05/02/2018 12:00:00 AM,,Reinspection/Followup,,,,,,,,,
